timeTick, n_in0, n_in1, n_in2, n_in3, n_in4, n_in5, n_in6, n_in7, n_in8, n_in9, n_in10, n_in11, n_in12, n_out0, n_out1, n_out2, n_out3, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
54985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163551360368729, 0.10034946352243423, 0.03342915326356888, -0.3023742558807184, -0.9481398566992425, 0.69665821788019
55015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164060235023499, 0.10035429894924164, 0.0334496945142746, -0.26739168730856927, -0.9847893988576288, 0.6959579565251302
55035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11152933537960052, 0.10017463564872742, 0.03344384580850601, -0.24115126443635562, -0.9108905308260375, 0.4961880665168113
55085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116354689002037, 0.10035651922225952, 0.033405713737010956, -0.2911351867313705, -1.004015484478856, 0.6885787448165168
55175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163124442100525, 0.10036296397447586, 0.033435091376304626, -0.27876094978143046, -0.9613362831746315, 0.7121521676582007
55185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116291731595993, 0.10035423934459686, 0.03342989832162857, -0.2721058115703517, -0.9443037518456094, 0.7108150210832386
55285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11155328899621964, 0.10027369856834412, 0.03352341055870056, -0.39450134850401236, -0.7735429775115392, 0.6080820551810555
55295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162848025560379, 0.10037960112094879, 0.03346489369869232, -0.24142559320071538, -0.9483241044636657, 0.6913012744260483
55305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11153408139944077, 0.10017186403274536, 0.03347700089216232, -0.24453856267342405, -0.9108622202806487, 0.4922769353752669
55315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11153330653905869, 0.10014829784631729, 0.03341735899448395, -0.31081505015994454, -0.9468645784776584, 0.4979727314476768
55365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11157272011041641, 0.10029779374599457, 0.0335266999900341, -0.30939731338523485, -0.7889600360290103, 0.6042900378614546
55375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164307594299316, 0.10035626590251923, 0.03342406451702118, -0.28276813610858, -0.9285046645305499, 0.6923339501181103
